Review,NPS
"Melbourne to Singapore on a Singapore Airlines refitted B777-300. Check in MEL was slow, and airport security and immigration a mess. MEL can take credit for having some of the most rude airport staff. Comfortable seating onboard, Kudos to Singapore Airlines for keeping 3x3x3 economy class seating. IFE not best and of the older generation - not responsive and bad screen quality. The crew were outstanding and hard working. Generous servings of drinks including Singapore Slings. Sadly their food has taken a very bad turn south. Tiny mains and very uninspired. Food nothing in line with the elaborate and glossy menus handed out. Flight left on time but was late into SIN due to strong head wings. Good flight but several areas have slipped. Highlight on this flight was exceptional crew.",Promoter
" Palermo to Moscow via Rome and I was so unlucky that I left my laptop on board of the aircraft on our way to Moscow. When I realized that the laptop was left, I called to the support service in Russia and asked what should I do. I was told to send a request to the Alitalia lost and found office. The only e-mail address on the website was Italian , and after sending the request I was answered, that this Office has only responsibility for the things left on board of the airplanes going to Rome and was advised to contact Sheremetyevo airport. Sheremetyevo airport explained that they do not collect things from other Airlines, except Aeroflot. Things that are left on board of Alitalia Airlines are brought to the small Alitalia Office located at Sheremetyevo. After asking Alitalia main Office for the contact, I got the answer that they dont have it. So the only way to find something you left on board going to Moscow is to come every day to Sheremetyevo Alitalia Office and ask them personally. No e mail address, No telephone number, No permanent working hours. Basically you have to live in Sheremetyevo and wait if the lady in a green Alitalia T shirt will get returned your laptop. How come that the national airline company of Italy do not have the local number of their own representative in Russia and cannot answer the simple question who gets the forgotten on board luggage if it is found? I can surely say that it a clear sign of unrespectful attitude to the customers and was really choked of the unwilling of the Alitalia employees to help, they were just redirecting every time from call centre in Russia back to lost and found Office in Rome. Really poor quality service!",Detractor
Actual flight both ways was good but the handling at Stansted and Rhodes wasn't. We felt like cattle not customers. Stansted we were held up getting to airport we had priority booking but had to wait with everyone else as priority queue had gone therefore one of the cabin bags had to go in the hold. At Rhodes we were first to check-in and they took the first 90 cabin bags in the hold. Surely it should be the last? There seems no reason now to take cabin bags at all! The benefit apart from the cost is that you can exit the airport much quicker at your destination. Waiting for cabin bags takes as long as waiting for large luggage. The overhead luggage compartments were half empty. It just seems like another Ryanair useless rule.,Passive
  Flew Spirit Airlines from Orlando to Boston. My big gripe with this airline is the cost for luggage. A bag that normally is considered a carry-on cost me $50 and my suitcase also cost $50 when JetBlue only charges me $25 and the carry-on is free. $100 dollars for a suitcase and normally a carry-on? Are you kidding me? Its partially my own fault for not flying JetBlue both directions. Next time I use kayak or another website I'll make sure Spirit is never an option for my travels. Completely unacceptable.,Detractor
" Shockingly poor experience on many levels, as AA had no regard for customer service. As a Oneworld Emerald am entitled to a range of benefits on AA including priority seating for myself and family. My daughter was traveling with me on this occasion, albeit on a paid ticket on separate record. AA flat out refused to link our records so my daughter could sit with me in Main Cabin Extra, necessitating me to downgrade to sit with my daughter. We were guilty of buying two paid tickets on different records and no fewer than six AA phone and airport personnel were unable to resolve and change. Instead MCE seats were given to non status customers for free at JFK check in. I am extremely loyal and fly 50+ AA, 100 Oneworld flights per year and simply cannot understand the lack of empathy or empowerment of employees in situations like this. Economy was extremely the usual uncomfortable cattle car. Deboarding devolved into a shouting match and pushing contest as several passengers rushed the door, with no AA personnel around to supervise what should be simple. Would not recommend.",Detractor
" Athens to Cairo. There is nothing special about this flight. However, I was surprised about the meal service. The food was delicious and well portioned, particularly for a 2-hour flight. In fact, it tasted better than some business class meal I had on long-haul flights. The equipment, a Boeing 737-800, was new and clean.",Promoter
 Toronto to Sofia via Frankfurt. Lufthansa is now selling Economy light more or less it was the same price for me through a third party travel site on trans-Atlantic flights but with no checked bags. You could end up paying $200 or more on top of your ticket.,Detractor
"Another flight with easyJet last week coincided with their 20th birthday, so flight crews were in a celebratory mood. My wife and I also received an e-mail telling us that we first flew with easyJet in 2005 and have travelled over 120,000 kms with them since then. Apart from one significant delay in Corfu because of weather, we have never had any problems with any of our flights. The existence of easyJet (and to a lesser extent, Ryanair) has allowed us to travel frequently and cheaply, which would have been impossible 20 years ago, so thank you for that, easyJet. Yes, one can be picky and identify minor irritations at times, e.g. on this latest flight to Malaga we were marginally late leaving Liverpool because boarding was delayed despite this being the plane's first flight of the day. Such gripes are trivial, however, in comparison with the efficient and good-humoured service provided by all the easyJet staff we have encountered over the years. The slightly tardy departure apart, this flight more than lived up to the usual standard, with a bonus of an anniversary token for everyone on board.",Promoter
"  Flew Rome to London Gatwick. Big disappointment, I paid Â£180 to fly with British Airways just for one way and the plane was delayed two hours and 41 minutes because of late arrival of another aircraft. Instead of arriving at 21.30 we landed almost at midnight. No refreshments were offered, nothing. The customs queue was massive, I got home at 3.00 in the morning. I decided to pay extra for BA instead of flying Ryanair and it was a huge mistake. Even the air conditioning in the plane whilst still on the ground did not work. BA is not worth the extra money. Staff did not speak a word of Italian.",Detractor
  Flew Air Canada rouge from Liberia to Manchester via Toronto. Absolute disgrace of an airline. Had to wait for over four hours for drinks service on outgoing flight. No TVs as they want you to rent their iPads with horrendous viewing options. Flight delayed by four hours on return. Only told we could get food vouchers 30 mins before we boarded - again it's all about the money. We had no food on a flight of over 5 hours. We checked with staff in Toronto that we didn't need to collect our bags for our connection which they confirmed. Lo and behold our bags didn't arrive as we'd been told. Avoid these utter clowns at all costs.,Detractor
