Review,NPS
"Bangkok to Phuket round trip. The lounge at the airport is available to all passengers, there are snacks, free WiFi and drinks. Check-in was fast and efficient. Inflight meal was very tasty. Cabin staff were as good as always. I will probably fly with Bangkok Airways again.",Promoter
"A real mixed bag with Air New Zealand from Auckland to Shanghai, great flight with bad ground service. The trip got off to a couple of bad starts, I couldn't check in from Queenstown to Geneva since the tickets were not connnected, so I had to drag my luggage between the terminals in Auckland. Then when I tried to check in for Geneva from Auckland they would only check me in to Shanghai since apparently Air NZ can not check people in to transit Shanghai to Air China. This needs to be fixed since I spent 2 hours in queues to get out and back into the airport in Shanghai, I would never fly this route again because of this problem. The terminal walkway in Auckland really needs to be covered since it is frequently raining, it is a bit of a national disgrace that uncovered walkway, not a good way to great arriving tourists. Flying the Dreamliner made this longhaul flight more pleasant, the higher humidity and cabin pressure left me feeling less drained than usual. The entertainment system is excellent with gate to gate service and a good selection of movies. Most importantly the system does not have boxes under the seats making a lot more legroom available. I was lucky to get a sky couch row to myself since the plane was only half full and was able to have the full sky couch to myself for sleeping. Having a full sky couch was great for sleeping, but honestly I can't see how 2 or more people could share one unless they are very short/small people or children.",Passive
"  Second in the queue in business class check-in line, there was an issue with the pax in front of me. He was on his phone trying to sort something, the agent on hers, for 10 minutes - nothing resolved. I later saw this pax in Y on board so don't know if he was only in the line due to OW status. At last, an agent in the Y class line said to her colleague â€œWill I take him?â€ â€“ meaning me â€“ and her colleague replied â€œUp to you.â€ I was being checked in and asked which lounge I used at CDG. â€œDunnoâ€ she said. She asked another agent - â€œI've no idea."" It was so rude / bad I just laughed. I think they thought I couldn't speak French. When I got to the AA lounge (I'd checked before which one to use) the agent said â€œThis is not where you're supposed to be.â€ When I challenged this it was only resolved when a colleague came over to him and explained OW Sapphire rules to him. A sign saying RJ pax could use the lounge was on the desk in front of him. Flight to AMM was OK-ish, but no proactive service from the crew. Meal was served and cleared away as soon as they could manage it â€“ twice, not-finished drinks taken from my table â€“ the crew disappeared behind curtain for the rest of flight. The food was mediocre, the in-flight entertainment limited and uninspiring. The AMM lounge a dump. Poor food, nasty toilets, birds flying inside, no one to let you in shower room. Cannot imagine its state if toilets anything to go by. Security staff at AMM incredibly rude and aggressive. â€œWhere you go?â€ barked, is really not good enough. Flight to BKK full. Most pax in business class appeared to be Royal Jordanian staff, behaving as though on a company outing. As we taxied two were standing in the aisles, using their phones, the woman beside me (no ideas who she was, young and pretty, very popular, both captains came out to chat to her) went into the cockpit for take-off and landing and I did not feel the FAs had proper control of the cabin. Breakfast consisted of 3 types of pastry with a bread roll on the side. No nuts with the welcome drink, no bottle of water, surely the minimum in business class. It was available if you asked for it, but you had to ask. The bar area onboard was used for a flight attendant to store her suitcase. Flights back were more of the same. The flight from BKK only better as only 9 pax in business class. In the middle of the night I pressed the bell to ask for some sparkling water. It took the flight attendant 5 minutes to come and offer to â€œhelpâ€. It's not as if she was busy. I got what I asked for to the letter, a glass with water in it. No ice, no lemon, no offer of anything to go with it. Someone needs to tell Royal Jordanian that training their staff to snarl â€œEnjoyâ€ at English speaking passengers whilst slamming a glass on to the tray and high-tailing it back behind the curtain before any more awkward questions can be asked does not make a premium passenger feel valued. The volume on the passenger announcements on the A321 to CDG was so loud that when the pilot made an announcement mid-flight the dozing man in front of me almost leapt out of his skin. I've learned my lesson. I thought as a One World airline it would be roughly on a par with other carriers in the alliance, if not necessarily as good. The ticket cost about Â£200 less then Qatar Airways and it allowed me to try a new aircraft type for me (the Boeing 787). However I cannot recommend the airline at all. I would sooner not fly than use them again. My main feeling is one of having been cheated out of my money.",Detractor
  London Heathrow to Riyadh return. Pleasant flight on both legs. Boarded and arrived on time and landed earlier than scheduled. This might be down to the low passenger numbers on board the flights due to it being a weekend. Food was enjoyable and served at the right time. Had a seat with extra legroom so this made a huge difference.,Promoter
"  Hong Kong to Bangkok. Check-in at the transfer desk in HKG was efficient and took less than 1 minute. The lounge was busy with plenty of holidaymakers but festive. Did not have to wait for showers. Boarding orderly with priority lanes. The seat was the Boeing 777 pod seat that can turn into a bed. Flight was quite empty and on the last day of the year, cabin crew were chatty and full of holiday spirits. Champagne was offered twice before takeoff and once leveled out, they came with another round of drinks followed by a meal. EntrÃ©e was 3 prawns on a bed of salad, the main dish was Thai curry chicken rice, an option of Chinese fish with rice or an afternoon tea set. There was ice cream for desert. The chief purser went to each passenger towards the end of the flight wishing us a happy new year.",Promoter
HKG-SVO-HKG A330 Economy. Both legs slightly delayed planes reasonably well kept and seats are comfortable with average pitch and recline. Limited choice of movies and TVs on the seat back AVOD IFE. Food was ok. 2 meals but no mid-flight snack for the 10hr flight. Plenty of water runs. Crew pleasant enough.,Passive
"  This flight from Bodhgaya to Delhi was the latest of about 20 domestic flights sectors completed with Air India over the last 3 - 4 years. The level of service has remained consistent in all areas, with some aspects of service stronger than others. This flight was originally due to depart Bodhgaya at 14.35h arriving in Delhi at 16.25h. An initial delay to a revised 16.00h departure was notified by e-mail several hours in advance. Check-in queue management at Bodhgaya airport was poor but agent service was good once you eventually got to the check-in desk. After further delay at Bodhgaya airport the flight eventually departed shortly after 18.00h and arrived at Delhi at about 20.00h. Not a single delay announcement was made at Bodhgaya airport and the information board simply showed the word 'delay' next to the flight number. We had no idea how long the delay would be until we saw our aircraft land. Except for an expensive coffee kiosk there were no customer facilities while waiting. The flight itself was straightforward and typical of one on Air India's short-haul A320 fleet with friendly, patient, efficient cabin crew and reasonably comfortable seating in a slightly grubby cabin. A simple in-flight snack was served. No announcements from the captain except an abrupt order for cabin crew to take their seats for take off and again for landing. Cabin crew announcements included a sincere apology for the delay. Arrived at Delhi's Terminal 3 where we exited through the international arrivals section because our flight had originated in Yangon, Burma, before picking up passengers in Bodhgaya. This meant that the domestic passengers among us had to join a long slow-moving queue to clear, bizarrely, passport control, where just two desks were dedicated to clearing many domestic passengers, presumably from several flights. It took more than an hour just to get as far as the baggage hall. The lesson is to remember to leave plenty of time if you take a domestic flight with Air India before connecting to an international flight.",Passive
They kept us on an airplane for 2 hours initially hardly any circulation trying to fix a problem with the navigation system. Then they left us on the plane for 2 hours while they tried to fix it giving us false hope every 30 minutes or so. They offered some of us a tiny bag of almonds but we had to share with the person beside us because they didn't have enough for everyone. Finally they got us off the plane 2 hours later. Gave us $10 to buy lunch. Flight was supposed to leave at 10.30am at 1.30pm or so we get an announcement saying flight will be leaving at 3pm. Then another delay to 4pm. Meanwhile the weather outside is getting worse and worse. So now we board at 4pm. They had us sit on the airplane for another 3 hours before we actually took off. 200+ people missed a whole day of vacation time. Updates were very infrequent. To top it all off the flight crew were miserable. They were finally walking by to offer us some food but a) they ran out of everything and b) they walked right by our row without asking. When I waved my hand the attendant got annoyed with me. It was the last time I fly with Air Canada. The free food was a sandwich. The drinks - they gave you pop juice or water and you couldn't have an actual can. Inflight entertainment - forget it. They didn't play a movie on the way to Montego Bay. You had to have the app downloaded on your phone. If you didn't have the app you got nothing.,Detractor
"Kuala Lumpur to Krabi. Despite that AirAsia have the Value Pack consists of baggage allowance and meals for additional price, the website settings require both passengers to take this package and could not be edited to only one of us. It's a short haul flight, full of passengers, but handled well by the ground staff and cabin crew. For those bringing checked-in luggage, use a padlock to avoid any missing items.",Passive
"Frankfurt to Lima via Madrid with Air Europa. Flight from Frankfurt was delayed for 1.5 hours, so the connection in Madrid was very short. For all flights a bus transer was necessary - the direct gangway seems to be to expensive for this airline. I was very disappointed with the cabin crew - especially with small children they were very unfriendly and not cooperative (I myself haven't got kids, but close to me there were a few). The catering reflects the price level of the airline and the same for space and entertainment. They offer only a few movies, but all in 7 languages, and the selection was not too bad.",Passive
